                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1745,                 3.8115,                 1.1873,                0.00146,                0.36842,                0.00127,                0.00053,                 1.3145,                 7.9137,                0.73848,                 0.0002,                 0.0002,                 0.0002
                      2,                0.99463,                 2.5611,                0.96556,                0.00125,                0.31579,                0.05413,                0.01846,                0.88919,                 7.3396,                0.58441,             0.00041584,             0.00041584,             0.00041584
                      3,                 1.0329,                 2.2618,                0.94076,                0.00104,                0.26316,                0.00651,                0.00298,                 1.1866,                  7.422,                 0.6367,             0.00062733,             0.00062733,             0.00062733
                      4,                 1.0098,                  2.238,                0.92251,                0.00104,                0.26316,                0.04528,                0.02335,                 1.2092,                 7.8664,                0.71781,             0.00083446,             0.00083446,             0.00083446
                      5,                 1.0788,                 2.0838,                0.93789,                 0.0612,                0.10526,                0.00898,                0.00499,                 1.1238,                 6.4678,                0.67128,              0.0010372,              0.0010372,              0.0010372
                      6,                 1.0443,                 2.0278,                0.96534,                0.50809,                0.10526,                0.08898,                0.04698,                 1.1977,                 6.8688,                 0.6659,              0.0012357,              0.0012357,              0.0012357
                      7,                 1.0663,                 1.9505,                0.96481,                0.05952,                0.13355,                 0.0177,                0.01156,                 1.2455,                 6.7244,                0.71618,              0.0014297,              0.0014297,              0.0014297
                      8,                 1.0348,                 1.9149,                0.97275,                0.12672,                0.26316,                0.04494,                0.02233,                 1.2279,                 5.9176,                0.74792,              0.0016194,              0.0016194,              0.0016194
                      9,                 1.0044,                 1.9227,                 0.9881,                0.05305,                0.21053,                0.01817,                0.00821,                 1.4551,                 6.2141,                0.85689,              0.0018048,              0.0018048,              0.0018048
                     10,                 1.0551,                 1.8355,                0.99607,                0.03714,                0.15789,                0.01464,                0.00733,                 1.6223,                 8.0955,                0.91575,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.0617,                 1.8855,                 1.0296,                0.09692,                0.21053,                0.03244,                0.01538,                 1.2089,                 4.9954,                0.71145,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0845,                 1.7845,                0.99279,                0.25808,                0.26316,                0.11023,                  0.062,                 1.3274,                 4.5911,                0.71107,               0.001802,               0.001802,               0.001802
                     13,                 1.0617,                 1.7989,                 1.0255,                0.34844,                0.26316,                0.09559,                0.04952,                 1.1985,                 4.2268,                0.72637,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0487,                 1.6675,                0.97232,                0.29405,                0.28569,                0.10455,                0.06408,                 1.0989,                 3.3529,                0.68495,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0659,                 1.7332,                 1.0348,                0.15815,                0.31579,                 0.0772,                0.04931,                 1.2681,                 3.8558,                 0.6935,              0.0017426,              0.0017426,              0.0017426
                     16,                  1.075,                 1.6116,                0.99856,                0.26851,                0.31579,                0.09442,                0.05415,                 1.0106,                 4.5157,                0.65155,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.0327,                 1.5919,                0.98543,                0.28936,                0.26316,                0.09831,                0.07568,                 1.0989,                 4.4512,                0.64163,               0.001703,               0.001703,               0.001703
                     18,                 1.0633,                 1.6759,                 1.0224,                0.08906,                0.15789,                0.03581,                0.01718,                 1.1768,                 4.4742,                0.69549,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.0375,                  1.555,                0.97628,                0.14236,                0.31579,                0.10776,                0.06402,                 1.0524,                 3.8313,                0.64609,              0.0016634,              0.0016634,              0.0016634
                     20,                0.96915,                 1.5123,                0.95137,                0.34953,                0.15789,                0.09887,                 0.0481,                 1.1616,                 3.5676,                 0.6521,              0.0016436,              0.0016436,              0.0016436
                     21,                0.92135,                 1.4526,                0.94595,                0.26602,                0.26316,                0.12062,                0.07549,                 1.0937,                 4.0335,                0.64504,              0.0016238,              0.0016238,              0.0016238
                     22,                0.96382,                 1.4865,                0.96139,                0.58447,                0.26316,                0.23104,                0.12106,                 1.2155,                 4.2976,                0.66937,               0.001604,               0.001604,               0.001604
